0x8156c0dcfc78308a12a38ccde1825c0b4a78d77f, FUNCOINIO (FUNC),tokens,App Development,$0,1
0x7abe4b30a1f61c02e43b17515b266736dd938dd7, $STCL The Initial Shirt Offering (STCL),tokens,Apparel,$0,-
0xadf8b8050639b6236915f7516d69de714672f0bf, Scanetchain (SWC),tokens,AR,"$1,468,741",10722
0x2ad180cbaffbc97237f572148fc1b283b68d8861, IZX Token (IZX),tokens,AR,$0,19540
0xfec0cf7fe078a500abf15f1284958f22049c2c7e, Maecenas ART Token (ART),tokens,Art,"$421,937",2050
0x2b0cc10247359b1faf46345dbb94b439e2a83143, ARTCHAINCOIN (ARC),tokens,Art,$0,426
0xbace7e22f06554339911a03b8e0ae28203da9598, CryptoArte (CARTE),tokens,Art,$0,80
0x41a322b28d0ff354040e2cbc676f0320d8c8850d, SupeRare (SUPR),tokens,Art,$0,851
0xfbeef911dc5821886e1dda71586d90ed28174b7d, KnownOriginDigitalAsset (KODA),tokens,Art,$0,-
0x91c3373f6e49bcc9ff313572493c77e8aaa752b8, DigitalArtCollective (DigitalArtCollective),tokens,Art,$0,-
0xb882ed6b8ec5fa4b3ea83c32c5afaf9824be38ec, Culture eXchange Coin (CXC),tokens,Art,$0,1110
0xD6Ff3B46Fa7d68E8F021BA603b8b98bE99d039ED, ARTWOOK Coin (AKC),tokens,Art,$0,76
0xd4e4078ca3495de5b1d4db434bebc5a986197782, Autoglyphs (?),tokens,Art,$0,-
0xfb444c1f2b718ddfc385cb8fd9f2d1d776b24668, ELA Coin (ELAMA),tokens,Artificial Intelligence,"$134,508,017",4076
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671, Numeraire (NMR),tokens,Artificial Intelligence,"$65,120,769",24564
0xea11755ae41d889ceec39a63e6ff75a02bc1c00d, Cortex Coin (CTXC),tokens,Artificial Intelligence,"$25,981,069",22702
0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd, Fetch (FET),tokens,Artificial Intelligence,"$20,500,860",5998
0xc7c03b8a3fc5719066e185ea616e87b88eba44a3, EligmaToken (ELI),tokens,Artificial Intelligence,"$6,685,043",1367
0xc528c28fec0a90c083328bc45f587ee215760a0f, Endor Protocol Token (EDR),tokens,Artificial Intelligence,"$6,226,428",10948
0xfc82bb4ba86045af6f327323a46e80412b91b27d, Token Prometeus Network (PROM),tokens,Artificial Intelligence,"$5,954,422",558
0xcd8544defedec7c6b60b5a4232320365b1b21fcc, GAPS (GAP),tokens,Artificial Intelligence,"$4,195,374",8779
0x2aec18c5500f21359ce1bea5dc1777344df4c0dc, FarmaTrust Token (FTT),tokens,Artificial Intelligence,"$2,474,198",6171
